sensor_id,time,x,y,temperature
2,4.224,0.25,-0.45,0.2891164838487649
2,4.272,0.25,-0.45,0.28924005643204687
2,4.32,0.25,-0.45,0.289353864351193
2,4.368,0.25,-0.45,0.2894580440545122
2,4.416,0.25,-0.45,0.2895527306652776
2,4.464,0.25,-0.45,0.28963805796742975
2,4.5120000000000005,0.25,-0.45,0.28971415839323356
2,4.5600000000000005,0.25,-0.45,0.28978116301277035
2,4.6080000000000005,0.25,-0.45,0.2898392015251563
2,4.656,0.25,-0.45,0.2898884022513811
2,4.704,0.25,-0.45,0.2899288921286693
2,4.752,0.25,-0.45,0.28996079670626795
2,4.8,0.25,-0.45,0.28998424014257435
2,4.848,0.25,-0.45,0.2899993452035166
2,4.896,0.25,-0.45,0.29000623326210945
2,4.944,0.25,-0.45,0.2900050242991078
2,4.992,0.25,-0.45,0.2899958369046877
3,0.0,0.0,0.0,0.5368927565775085
3,0.048,0.0,0.0,0.5388604078730526
3,0.096,0.0,0.0,0.5407257482611666
3,0.14400000000000002,0.0,0.0,0.5424916151295492
3,0.192,0.0,0.0,0.5441608138208542
3,0.24,0.0,0.0,0.5457361124137095
3,0.28800000000000003,0.0,0.0,0.5472202373109496
3,0.336,0.0,0.0,0.5486158695460469
3,0.384,0.0,0.0,0.5499256417274655
3,0.432,0.0,0.0,0.5511521355486536
3,0.48,0.0,0.0,0.5522978797986535
3,0.528,0.0,0.0,0.5533653488149085
3,0.5760000000000001,0.0,0.0,0.5543569613258401
3,0.624,0.0,0.0,0.5552750796361835
3,0.672,0.0,0.0,0.5561220091129753
3,0.72,0.0,0.0,0.5568999979345151
3,0.768,0.0,0.0,0.5576112370686127
3,0.8160000000000001,0.0,0.0,0.5582578604500361
3,0.864,0.0,0.0,0.5588419453303111
3,0.912,0.0,0.0,0.5593655127759418
3,0.96,0.0,0.0,0.559830528293736
3,1.008,0.0,0.0,0.5602389025642636
3,1.056,0.0,0.0,0.5605924922665769
3,1.104,0.0,0.0,0.5608931009791893
3,1.1520000000000001,0.0,0.0,0.5611424801439678
3,1.2,0.0,0.0,0.5613423300810785
3,1.248,0.0,0.0,0.561494301044429
3,1.296,0.0,0.0,0.5615999943082275
3,1.344,0.0,0.0,0.5616609632763289
3,1.3920000000000001,0.0,0.0,0.5616787146069904
3,1.44,0.0,0.0,0.5616547093465344
3,1.488,0.0,0.0,0.5615903640662161
3,1.536,0.0,0.0,0.5614870519973412
3,1.584,0.0,0.0,0.5613461041603657
3,1.6320000000000001,0.0,0.0,0.5611688104843572
3,1.68,0.0,0.0,0.5609564209137772
3,1.728,0.0,0.0,0.5607101465000899
3,1.776,0.0,0.0,0.5604311604761837
3,1.824,0.0,0.0,0.5601205993120281
3,1.872,0.0,0.0,0.5597795637503655
3,1.92,0.0,0.0,0.5594091198215707
3,1.968,0.0,0.0,0.5590102998370842
3,2.016,0.0,0.0,0.5585841033610657
3,2.064,0.0,0.0,0.5581314981600983
3,2.112,0.0,0.0,0.5576534211309303
3,2.16,0.0,0.0,0.5571507792063579
3,2.208,0.0,0.0,0.5566244502394437
3,2.2560000000000002,0.0,0.0,0.5560752838663295
3,2.3040000000000003,0.0,0.0,0.5555041023479479
3,2.352,0.0,0.0,0.5549117013909665
3,2.4,0.0,0.0,0.5542988509483133
3,2.448,0.0,0.0,0.5536662959996418
3,2.496,0.0,0.0,0.5530147573120903
3,2.544,0.0,0.0,0.5523449321816883
3,2.592,0.0,0.0,0.551657495155755
3,2.64,0.0,0.0,0.5509530987366225
3,2.688,0.0,0.0,0.5502323740670101
3,2.736,0.0,0.0,0.5494959315973681
3,2.7840000000000003,0.0,0.0,0.5487443617354929
3,2.832,0.0,0.0,0.5479782354787187
3,2.88,0.0,0.0,0.5471981050289773
3,2.928,0.0,0.0,0.5464045043910164
3,2.976,0.0,0.0,0.5455979499540624
3,3.024,0.0,0.0,0.5447789410572137
3,3.072,0.0,0.0,0.5439479605388472
3,3.12,0.0,0.0,0.5431054752703239
3,3.168,0.0,0.0,0.5422519366742788
3,3.216,0.0,0.0,0.541387781227783
3,3.2640000000000002,0.0,0.0,0.5405134309506668
3,3.3120000000000003,0.0,0.0,0.5396292938792989
3,3.36,0.0,0.0,0.5387357645261119
3,3.408,0.0,0.0,0.5378332243251774
3,3.456,0.0,0.0,0.5369220420641253
3,3.504,0.0,0.0,0.5360025743027129
3,3.552,0.0,0.0,0.535075165778346
3,3.6,0.0,0.0,0.5341401497988567
3,3.648,0.0,0.0,0.5331978486228455
3,3.696,0.0,0.0,0.5322485738278925
3,3.744,0.0,0.0,0.5312926266669457
3,3.7920000000000003,0.0,0.0,0.5303302984131897
3,3.84,0.0,0.0,0.5293618706937027
3,3.888,0.0,0.0,0.5283876158122006
3,3.936,0.0,0.0,0.5274077970611726
3,3.984,0.0,0.0,0.5264226690237032
3,4.032,0.0,0.0,0.5254324778652782
3,4.08,0.0,0.0,0.5244374616158641
3,4.128,0.0,0.0,0.5234378504425474
3,4.176,0.0,0.0,0.5224338669130214
3,4.224,0.0,0.0,0.5214257262501929
3,4.272,0.0,0.0,0.520413636578187
3,4.32,0.0,0.0,0.5193977991600162
3,4.368,0.0,0.0,0.518378408627178
3,4.416,0.0,0.0,0.5173556532014368
3,4.464,0.0,0.0,0.5163297149090444
3,4.5120000000000005,0.0,0.0,0.5153007697876425
3,4.5600000000000005,0.0,0.0,0.5142689880860883
3,4.6080000000000005,0.0,0.0,0.5132345344574382
3,4.656,0.0,0.0,0.5121975681453145
3,4.704,0.0,0.0,0.5111582431638809
3,4.752,0.0,0.0,0.5101167084716391
3,4.8,0.0,0.0,0.509073108139257
3,4.848,0.0,0.0,0.508027581511634
3,4.896,0.0,0.0,0.506980263364398
3,4.944,0.0,0.0,0.5059312840550282
3,4.992,0.0,0.0,0.5048807696687876
4,0.0,-0.75,0.75,0.0020490614988879635
4,0.048,-0.75,0.75,0.0021441462318911543
4,0.096,-0.75,0.75,0.002241930578400825
4,0.14400000000000002,-0.75,0.75,0.002342434503777717
4,0.192,-0.75,0.75,0.0024456254892308324
4,0.24,-0.75,0.75,0.002551318696910199
4,0.28800000000000003,-0.75,0.75,0.0026592230475945195
4,0.336,-0.75,0.75,0.002769067674252896
4,0.384,-0.75,0.75,0.0028806657612905576
4,0.432,-0.75,0.75,0.0029939171349743013
4,0.48,-0.75,0.75,0.003108787184079171
4,0.528,-0.75,0.75,0.0032252836203014593
4,0.5760000000000001,-0.75,0.75,0.0033434382169228918
4,0.624,-0.75,0.75,0.003463294305007248
4,0.672,-0.75,0.75,0.0035848988667579016
4,0.72,-0.75,0.75,0.0037082978381876735
4,0.768,-0.75,0.75,0.0038335335032949284
4,0.8160000000000001,-0.75,0.75,0.003960643192353708
4,0.864,-0.75,0.75,0.00408965876434036
4,0.912,-0.75,0.75,0.0042206065427265954
4,0.96,-0.75,0.75,0.0043535074996283235
4,1.008,-0.75,0.75,0.0044883775640812765
4,1.056,-0.75,0.75,0.0046252279810146315
